レンパ | 廉頗 れんぱ | 廉颇 | lianpo | id: 105
小喬 (ショウキョウ) | 小喬 しょうきょう | 小乔 | xiaoqiao | id: 106
趙雲 (チョウウン) | 趙雲 ちょううん | 赵云 | zhaoyun | id: 107
ボクシ | 墨子 ぼくし | 墨子 | mozi | id: 108
ダッキ | 妲己 だっき | 妲己 | daji | id: 109
始皇帝 (シコウテイ) | undefined | 嬴政 | yingzheng | id: 110
孫尚香 (ソンショウコウ) | 孫尚香 そんしょうこう | 孙尚香 | sunshangxiang | id: 111
魯班七号 | 魯班7号 ろばんななごう | 鲁班七号 | lubanqihao | id: 112
荘周 (ソウシュウ) | 荘子 そうし | 庄周 | zhuangzhou | id: 113
劉禅 (リュウゼン) | 劉禅 りゅうぜん | 刘禅 | liushan | id: 114
高漸離 | 漸離 ぜんり | 高渐离 | gaojianli | id: 115
阿軻 (アサシン) | バタフライ | 阿轲 | ake | id: 116
鍾無艶 | 鐘無艶 しょうむえん | 钟无艳 | zhongwuyan | id: 117
孫臏 (ソンビン) | 孫臏 そんびん | 孙膑 | sunbin | id: 118
扁鵲 | 扁鵲 へんじゃく | 扁鹊 | bianque | id: 119
白起 | 白起 はくき | 白起 | baiqi | id: 120
ミーユエ | ミーユエ | 芈月 | miyue | id: 121
呂布 (リョフ) | 呂布 りょふ | 吕布 | lvbu | id: 123
周瑜 | 周瑜 しゅうゆ | 周瑜 | zhouyv | id: 124
夏侯惇 | 夏侯惇 かこうとん | 夏侯惇 | xiahoudun | id: 126
甄姫 | 甄姫 しんき | 甄姬 | zhenji | id: 127
曹操 | undefined | 曹操 | caocao | id: 128
典韋 | 典韋 てんい | 典韦 | dianwei | id: 129
宮本武蔵 | 宮本武蔵 みやもとむさし | 宫本武藏 | gongbenwuzang | id: 130
李白 | 李白 りはく | 李白 | libai | id: 131
マルコ・ポーロ | マルコ・ポーロ | 马可波罗 | makeboluo | id: 132
狄仁傑 | 仁傑 じんけつ | 狄仁杰 | direnjie | id: 133
達磨 (ダルマ) | 達磨 だるま | 达摩 | damo | id: 134
項羽 | 項羽 こうう | 项羽 | xiangyu | id: 135
武則天 | undefined | 武则天 | wuzetian | id: 136
老夫子 | 孔子 こうし | 老夫子 | laofuzi | id: 139
関羽 | 関羽 かんう | 关羽 | guanyu | id: 140
貂蝉 (チョウセン) | 貂蝉 ちょうせん | 貂蝉 | diaochan | id: 141
アンジェラ | アンジェラ | 安琪拉 | anqila | id: 142
程咬金 | ラブール | 程咬金 | chengyaojin | id: 144
ルナ | ルナ | 露娜 | luna | id: 146
太公望 | 太公望 たいこうぼう | 姜子牙 | jiangziya | id: 148
劉邦 | 劉邦 りゅうほう | 刘邦 | liubang | id: 149
韓信 | 韓信 かんしん | 韩信 | hanxin | id: 150
王昭君 | 王昭君 おうしょうくん | 王昭君 | wangzhaojun | id: 152
蘭陵王 | 蘭陵王 らんりょうおう | 兰陵王 | lanlingwang | id: 153
花木蘭 (ファムーラン) | ムーラン | 花木兰 | huamulan | id: 154
張良 | 張良 ちょうりょう | 张良 | zhangliang | id: 156
不知火舞 | 不知火舞 しらぬいまい | 不知火舞 | buzhihuowu | id: 157
